word,definition
repudiate,refuse to acknowledge, ratify, or recognize as valid
rescind,cancel officially
resolution,a decision to do something or to behave in a certain manner
resolve,find a solution or answer
reticent,reluctant to draw attention to yourself
reverent,feeling or showing profound respect or veneration
sage,a mentor in spiritual and philosophical topics
salubrious,promoting health
sanction,official permission or approval
satiate,fill to satisfaction
saturate,infuse or fill completely
savor,a particular taste or smell, especially an appealing one
secrete,generate and separate from cells or bodily fluids
shard,a broken piece of a brittle artifact
skeptic,someone who habitually doubts accepted beliefs
soporific,inducing sleep
specious,plausible but false
spectrum,a broad range of related objects, values, or qualities
sporadic,recurring in scattered or unpredictable instances
stigma,a symbol of disgrace or infamy
stint,supply sparingly and with restricted quantities
stipulate,make an express demand or provision in an agreement
stolid,having or revealing little emotion or sensibility
strut,walk in a proud, confident way
subpoena,a writ issued to compel the attendance of a witness
subside,wear off or die down
substantiate,establish or strengthen as with new evidence or facts
supersede,take the place or move into the position of
supposition,the cognitive process of conjecturing
tacit,implied by or inferred from actions or statements
tangential,of superficial relevance if any
tenuous,very thin in gauge or diameter
tirade,a speech of violent denunciation
torpor,a state of motor and mental inactivity
tortuous,marked by repeated turns and bends
tractable,easily managed
transgression,the violation of a law or a duty or moral principle
truculence,stubborn and defiant aggressiveness
vacillate,be undecided about something
venerate,regard with feelings of respect and reverence
veracious,habitually speaking the truth
verbose,using or containing too many words
viable,capable of life or normal growth and development
viscous,having a relatively high resistance to flow
vituperative,marked by harshly abusive criticism
volatile,liable to lead to sudden change or violence
wary,marked by keen caution and watchful prudence
welter,a confused multitude of things
whimsical,determined by chance or impulse rather than by necessity
zealot,a fervent and even militant proponent of something
abdicate,(v) formally give up the throne (or some other power or responsibility)
abhor,(v) detest, regard with disgust
abjure,(v) give up, renounce; repudiate, recant, or shun (especially formally or under oath)
abrasive,(adj) rough, suitable for grinding or polishing (such as sandpaper); causing irritation or annoyance
abridge,(v) reduce or lessen
abstain,(v) hold back, refrain (especially from something bad or unhealthy); decline to vote
acme,(n) summit, peak, highest point
activism,(n) the practice of pursuing political or other goals through vigorous action, often including protests and demonstrations
adhere,(v) stick (to), such as with glue, or to a plan or belief
adverse,(adj) opposing, harmful
advocate,(v, n) speak or argue in favor of (verb); a person who pleads for a cause or on behalf of another person (noun)
affable,(adj) warm and friendly, pleasant, approachable
affectation,(n) fake behavior (such as in speech or dress) adopted to give a certain impression
aggrandize,(v) make greater
alienate,(v) cause to become unfriendly, hostile, or distant
ambivalent,(adj) uncertain; unable to decide, or wanting to do two contradictory things at once
anoint,(v) rub or sprinkle oil on; make sacred, such as by ceremony that includes applying oil to someone
anomaly,(n) deviation from what is common
antagonize,(v) make hostile or unfriendly
apocryphal,(adj) of questionable authenticity
arcane,(adj) known or understood by only a few; obscure, secret
archaic,(adj) characteristic of an earlier period, ancient, primitive
articulate,(adj, verb) using language in a clear, fluent way (adj); speak distinctly or give clarity to an idea (verb)
artifact,(n) any object made by humans, especially those from an earlier time, such as those excavated by archaeologists
ascertain,(v) find out with certainty
augment,(v) make larger
autonomous,(adj) self-governing, independent
avid,(adj) enthusiastic, dedicated, passionate; excessively desirous
balk,(v) refuse to proceed or to do something
base,(adj) morally low, mean, dishonorable; of little or no value; crude and unrefined; counterfeit
benign,(adj) harmless; favorable; kindly, gentle, or beneficial; not cancerous
bogus,(adj) fake, fraudulent
boor,(n) rude, ill-mannered, or insensitive person; a peasant or country bumpkin
buffer,(n) something that shields, protects, absorbs shock, or cushions
bureaucracy,(n) government characterized by many bureaus and petty administrators or by excessive, seemingly meaningless requirements
bygone,(adj, n) past, former (adj); that which is in the past (usually plural noun)
cacophony,(n) harsh, discordant, or meaningless mixture of sounds
candid,(adj) open, sincere, honest
canonical,(adj) authorized, recognized; pertaining to the canon, or body of accepted rules, standards or artistic works
cartography,(n) mapmaking
castigate,(v) criticize severely
catalyze,(n) causer of change
censure,(n, v) strong disapproval or official reprimand (noun); to issue such disapproval or reprimand (verb)
chauvinism,(n) fanatical patriotism or blind enthusiasm for military glory; undue or biased devotion to any group, cause, etc
chronological,(adj) arranged in or relating to time order
clamor,(v) noisy uproar or protest, as from a crowd; a loud, continuous noise
clinch,(v) make final or settle conclusively
coalesce,(v) come together, unite; fuse together
complacent,(adj) self-satisfied, smug; overly content (and therefore lazy, neglectful, or some other bad quality)
complementary,(adj) completing
concede,(v) give in, admit, yield; acknowledge reluctantly; grant or give up (such as giving up land after losing a war)
concur,(v) approve, agree
confer,(v) consult, compare views; bestow or give
console,(v, n) lessen the suffering or grief of (verb); a control panel, or small table or cabinet (noun)
consolidate,(v) unite, combine, solidify, make coherent
constrict,(v) squeeze, compress; restrict the freedom of
construe,(v) interpret or translate
contextualize,(v) place in context, such as by giving the background or circumstances
conversant,(adj) knowledgeable about or experienced with
conversely,(adv) in an opposite way
copious,(adj) plentiful, bountiful
corroborate,(v) support, add evidence to
cosmopolitan,(adj) belonging to the entire world, at home globally; free from local or national prejudices or attachments
countenance,(n, v) facial expression or face (noun); approve or tolerate (verb)
counterintuitive,(adj) against what one would intuitively expect
counterpoint,(n) contrasting item, opposite; a complement; the use of contrast or interplay in a work of art
counterproductive,(adj) defeating the purpose
covert,(adj) secret, veiled, undercover
crafty,(adj) cunning, skillful in deception or underhanded schemes
credibility,(n) believability, trustworthiness
credulous,(adj) gullible
crescendo,(n) steady increase in force, intensity, or the loudness of a musical passage; a climactic moment or peak
culminate,(v) reach the highest point or final stage
cynical,(adj) thinking the worst of others' motivations
debase,(v) degrade; lower in quality, value, rank, etc; lower in moral quality
debunk,(v) expose, ridicule, or disprove false or exaggerated claims
decorous,(adj) behaving with propriety and good taste
deem,(v) judge
deface,(v) vandalize, mar the appearance of
deflect,(v) cause to curve; turn aside, esp from a straight course; avoid
deleterious,(adj) harmful, unhealthy
denote,(v) be a name or symbol for
detached,(adj) impartial, disinterested; unconcerned, distant, aloof
didactic,(adj) intended to instruct; teaching, or teaching a moral lesson
digress,(v) go off-topic when speaking or writing
din,(n) loud, confused noise, esp for a long period of time
discriminating,(adj) judicious, discerning, having good judgment or insight
dispassionate,(adj) unbiased, not having a selfish or personal motivation; calm, lacking emotion
dispatch,(n, v) speed, promptness; send off or deal with in a speedy way
disperse,(v) scatter, spread widely, cause to vanish
disposition,(n) a person's general or natural mood
disquieting,(adj) disturbing, causing anxiety
dissent,(v, n) disagree or take an opposing view, esp in relation to a formal body such as a government, political party, or church; such a view
divine,(v) discover through divination or supernatural means
dogma,(n) a system of principles laid down by an authority
dubious,(adj) doubtful, questionable, suspect
eccentric,(adj) peculiar, odd, deviating from the norm esp in a whimsical way
eclipse,(n, v) the obscuring of one thing by another, such as the sun by the moon or a person by a more famous or talented person (noun); to obscure, darken, make less important (verb)
egalitarian,(adj) related to the belief in the equality of all people, esp in political, economic, or social spheres
egregious,(adj) extraordinarily or conspicuously bad
elated,(adj) very happy, in high spirits
elevate,(v) raise, lift up; lift the spirits of; move up to a higher rank or status or raise up to a higher spiritual or intellectual plane
eloquent,(adj) marked by forceful, fluid, apt speech; expressive, emotionally moving
eminent,(adj) prominent, distinguished, of high rank
enigma,(n) puzzle, mystery, riddle; mysterious or contradictory person
entitlement,(n) having the right to certain privileges; believing, sometimes without cause, that one deserves or has a right to certain privileges
enumerate,(v) count or list
equitable,(adj) fair, equal, just
erratic,(adj) inconsistent, wandering, having no fixed course
erroneous,(adj) mistaken, in error; improper, morally incorrect
eschew,(v) shun, avoid, abstain from
estimable,(adj) worthy of esteem, admirable; able to be estimated
exacting,(adj) very severe in making demands
exhaustive,(adj) comprehensive, thorough, exhausting a topic or subject, accounting for all possibilities; draining, tending to exhaust
explicit,(adj) direct, clear, fully revealed; clearly depicting sex or nudity
exponent,(n) person who expounds or explains; champion, advocate, or representative
extraneous,(adj) irrelevant; foreign, coming from without, not belonging
extrapolate,(v) conjecture about an unknown by projecting information about something known
fanatical,(adj) excessively devoted, enthusiastic, or zealous in an uncritical way
fanciful,(adj) whimsical, capricious; imaginary; freely imaginative rather than based on reason or reality
fathom,(v) measure the depth of (usually of water) as with a sounding line; penetrate and discover the meaning of, understand
feasible,(adj) possible
fidelity,(n) faithful, loyalty; strict observance of duty; accuracy in reproducing a sound or image
figurative,(adj) metaphorical, based on figures of speech; containing many figures of speech (as fancy-sounding writing); related to portraying human or animals figures
finesse,(n, v) extreme delicacy, subtlety, or diplomacy in handling a sensitive situation or in a performance or skill (noun); use tact or diplomacy; employ a deceptive strategy (verb)
fleeting,(adj) passing quickly, transitory
foreshadow,(v) indicate or suggest beforehand, presage
forfeit,(v) surrender or lose as a result of an error, crime, or failure to fulfill an obligation
fortify,(v) strengthen, invigorate, encourage
fringe,(n, adj) on the margin, periphery (adj); the people in a group who hold the most extreme views (noun)
frugal,(adj) economically, thrifty, not wasteful with money; inexpensive
gauche,(adj) tactless, lacking social grace, awkward, crude
gawky,(adj) physically awkward (esp of a tall, skinny person, often used to describe teenagers)
germane,(adj) relevant and appropriate, on topic
gist,(n) main idea, essence
glib,(adj) fluent and easy in a way that suggests superficiality or insincerity
goosebumps,(n) the bumps created by hairs standing up on the skin in response to cold, fear, etc
gradation,(n) a progression, a process taking place gradually, in stages; one of these stages
guile,(n) clever deceit, cunning, craftiness
hackneyed,(adj) so commonplace as to be stale
hardy,(adj) bold, brave, capable of enduring hardship, fatigue, cold, etc
haven,(adj) harbor or port; refuge, safe place
hearken,(v) listen, pay attention to
hedonist,(n) person devoted to pleasure
heterogeneous,(adj) different in type, incongruous; composed of different types of elements
hierarchy,(n) a ranked series; a classification of people according to rank, ability, etc; a ruling body
hodgepodge,(n) mixture of different kinds of things, jumble
homogeneous,(adj) of the same kind
idiosyncrasy,(n) characteristic or habit peculiar to an individual; peculiar quality, quirk
illiberality,(n) narrow-mindedness, bigotry; strictness or lack of generosity
imminent,(adj) ready to occur, impending
impartial,(adj) unbiased, fair
implication,(n) act of implying or that which is implied; close connection, esp in an incriminating way
inadvertent,(adj) unintentional; characterized by a lack of attention, careless
inasmuch,(adv) in like manner, considering that (contradiction of in as much, generally followed by as)
incendiary,(adj) setting on fire, pertaining to arson; arousing strife, rebellion, etc; inflaming the senses
incentive,(n) something that encourages greater action or effort, such as a reward
incipient,(adj) just beginning
incongruous,(adj) out of place, inappropriate, not harmonious
indifferent,(adj) not caring, having no interest; unbiased, impartial
inform,(v) inspire, animate; give substance, essence, or context to; be the characteristic quality of
ingrained,(adj) deep-rooted, forming part of the very essence; worked into the fiber
intelligible,(adj) able to understood, clear
intrepid,(adj) fearless, brave, enduring in the face of adversity
intrinsic,(adj) belonging to the essential nature of a thing
jargon,(n) vocabulary specific to a group or occupation
jocular,(adj) joking or given to joking all the time; jolly, playful
judicious,(adj) using good judgment; wise, sensible
juncture,(n) critical point in time, such as a crisis or a time when a decision is necessary; a place where two things are joined together
keen,(adj) sharp, piercing; very perceptive or mentally sharp; intense (of a feeling)
kudos,(n) praise, honor, congratulations
lackluster,(adj) not shiny; dull, mediocre, lacking brilliance or vitality
lament,(v, n) mourn; express grief, sorrow, or regret (verb); an expression of grief, esp as a song or poem (noun)
lampoon,(n, v) a harsh satire (noun); ridicule or satirize (verb)
landmark,(n, adj) object (such as a building) that stands out and can be used to navigate by; very important place, event, etc
languid,(adj) drooping from exhaustion, sluggish, slow; lacking in spirit
laudable,(adj) worthy of praise
lavish,(adj, v) abundant or giving in abundance; marked by excess (adj); give very generously (verb)
layperson,(n) a person who is not a member of the clergy or not a member of a particular profession (such as medicine, law, etc)
levy,(v, n) collect tax from, wage war on, or enlist for military service (verb); act of collecting tax or amount owed, or the drafting of troops into military service (noun)
liberal,(adj, n) favorable to progress or reform; believing in maximum possible individual freedom; tolerant, open-minded; generous (adj); a person with such beliefs or practices (noun)
libertine,(n) morally or sexually unrestrained person
likewise,(adv) also, in addition to; similarly, in the same way
log,(v, n) keep a record of, write down; travel for or at a certain distance or speed (verb); a written record (noun)
lull,(n, v) soothe or cause to fall asleep (as in a lullaby); quiet down; make to feel secure, sometimes falsely (verb); a period of calm or quiet (noun)
makeshift,(n, adj) a temporary, often improvised, substitute (noun); improvised for temporary use (adj)
mercurial,(adj) quickly unpredictably changing moods; fickle, flighty
modest,(adj) humble; simple rather than showy; decent (esp covering up in terms of dress); small, limited
monotony,(n) sameness or repetitiousness to the point of being boring; lack of variation, uniformity, esp repetition in sound
moreover,(adv) besides
mores,(n) customs, manners, or morals of a particular group
naive,(adj) simple and unsophisticated, unsuspecting, lacking worldly experience and critical judgment
nascent,(adj) coming into existence, still developing
net,(adj, v) remaining after expenses or other factors have been deducted; ultimate (adj); to bring in as profit or to catch as in a net (verb)
nevertheless/nonetheless,(adv) however, even so, despite that
notoriety,(n) ill fame
novel,(adj) new, fresh, original
nuance,(n) a subtle difference in tone, meaning, and expression
objective,(adj) factual, related to reality or physical objects; not influenced by emotions, unbiased
obsolete,(adj) out of date, no longer in use
obstinate,(adj) stubborn or hard to control
occult,(n, adj, v) the supernatural (noun); pertaining to magic, astrology, etc; mysterious, secret or hidden (adj); to hide, to shut off from view
offhand,(adj) casual, informal; done without preparation or forethought; rude in a short way, brusque
offset,(v, n) counteract, compensate for (verb); a counterbalance (noun)
opaque,(adj) not translucent; not allowing light, hear, etc to pass through; dark, dull, unclear or stupid
optimal/optimum,(adj) best, most desirable or favorable
orthodox,(adj) adhering to a traditional, established faith, or to anything customary or commonly accepted
outstrip,(v) surpass, exceed; be larger or better than; leave behind
overshadow,(v) cast a shadow over, darken; dominate, make to seem less important
paradigm,(n) model or pattern; worldview, set of shared assumptions, values, etc
paradox,(n) contradiction, or seeming contradiction that is actually true
pariah,(n) social outcast, untouchable
partial,(adj) biased, prejudiced, favoring one over the others; having a special liking for something or someone (usually partial to)
patent,(adj, n) obvious, apparent, plain to see (adj); a letter from the government guaranteeing an inventor rights to his or her invention (noun)
patronizing,(adj) condescending, having a superior manner, treating as an inferior
peccadillo,(n) small sin or fault
pedestrian,(adj) ordinary, dull, commonplace
peripheral,(adj) relating to or making up an outer boundary or region
permeate,(v) spread or penetrate throughout
philanthropy,(n) efforts to improve the well-being of humankind, generally through giving money
phony,(adj) fake, counterfeit; insincere, not genuine
pious,(adj) devout
pith,(n) core, essence; significance or weight
placid,(adj) peaceful, calm, tranquil
plastic,(adj) able to be shaped or formed
plausible,(n) believable
polarized,(adj) divided into sharply opposed groups
ponderous,(adj) heavy; bulky and unwieldy; dull, labored
posthumous,(adj) happening or continuing after death
potentate,(n) ruler, person of great power
pre-empt,(v) prevent; take the place of, supplant; take before someone else can
predisposed,(adj) having an inclination or tendency beforehand
presumptive,(adj) based on inference or assumption
pretentious,(adj) claiming or demanding a position of importance or dignity, esp when unjustified; showing off creating deceptive, false show of worth
principled,(adj) having high moral standards
prodigious,(adj) extraordinarily large, impressive, etc
profligate,(adj) completely and shamelessly immoral, or extremely wasteful
profuse,(adj) abundant, extravagant, giving or given freely
prologue,(n) introductory part to a book, play, etc
pronounced,(adj) distinct, strong, clearly indicated
prosaic,(adj) dull, ordinary
prospective,(adj) potential, in the future
prudent,(adj) wise in practical matters, carefully providing for the future
pugnacious,(adj) inclined to fight, combative
quandary,(n) uncertainty or confusion about what to do, dilemma
quotidian,(adj) daily; everyday, ordinary
ranks,(n) personnel
reap,(v) harvest, such as by cutting; gather; get as a result of one's effort
remedial,(adj) providing a remedy, curative; correcting a deficient skill
render,(v) give, submit, surrender; translate; declare formally; cause to become
replete,(adj) supplied in abundance, filled, gorged (used with with)
requite,(v) reciprocate, repay, or revenge
respectively,(adv) in the order given
restive,(adj) impatient or uneasy under the control of another
retrospective,(adj, n) looking to the past or backward; applying to the past, retroactive (adj); an art exhibit of an artist's work over a long period of time (n)
rhetoric,(n) the art or study of persuasion through speaking or writing; language that is elaborate or pretentious but actually empty, meaning little
rife,(adj) happening frequently, abundant, currently being reported
rudimentary,(adj) elementary, relating to the basics; undeveloped, primitive
rustic,(adj, n) relating to country life, unsophisticated; primitive; made of rough wood (adj); a rural or uncultured person (noun)
sacrosanct,(adj) sacred, inviolable, not to be trespassed on or violated; above any criticism
sagacious,(adj) wise
sanguine,(adj) cheerfully optimistic, hopeful; reddish, ruddy (as in rosy-red cheeks indicating health or vitality)
sap,(n, v) the inner fluid of a plant or any essential body fluid; energy, vitality; a person taken advantage of (noun); undermine, weaken, tire out (verb)
satiate or sate,(v) to fully satisfy; to go beyond satisfying to the point of excess (possibly inducing disgust, tiredness, etc)
scant,(adj) not enough or barely enough
scathing,(adj) severe, injurious; bitterly harsh or critical (as a remark)
secular,(adj) not religious or holy
sedulous,(adj) persevering, persistent, diligent in one's efforts
sentient,(adj) conscious
simultaneous,(adj) at the same time
skirt,(v) border, lie along the edge of , go around; evade
slack,(adj, v, n) loose, negligent, lazy, weak (adj); neglect to so one's duties; loosen up, relax (verb); period of little work (noun)
slew,(n) a large number or quantity
slight,(adj, v, n) small, not very important, slender or delicate (adj); treat as though not very important; snub, ignore (verb); an act of treating in this way, a discourtesy (noun)
solicitous,(adj) concerned or anxious (about another person), expressing care; eager or desirous; very careful
sound,(v) measure the depth of (usually water) as with a sounding line; penetrate and discover the meaning of, understand (usually as sound the depths)
spartan,(adj) very disciplined and stern; frugal, living simply, austere; suggestive of the ancient Spartans
spate,(n) sudden outpouring or rush
spearhead,(v) be the leader of
speculate,(v) contemplate; make a guess or educated guess about; engage in a risky business transaction, gamble
sportive,(adj) playful, merry, joking around, done in sport (rather than intended seriously)
standing,(n, adj) status, rank, reputation (noun); existing indefinitely, not movable (adj)
stark,(adj) complete, total, utter; harsh or grim; extremely simple, severe, blunt, or plain
static,(adj) fixed, not moving or changing, lacking vitality
status quo,(n) existing state or condition
stingy,(adj) not generous with money, reluctant to spend or give
stoic or stoical,(adj, n) indifferent to pleasure or pain, enduring without complaint (adj); person indifferent to pleasure or pain (noun)
stymie or stymy,(v, n) block, hinder, or thwart (verb); an obstacle (noun)
subjective,(adj) existing in the mind or relating to one's own thoughts, opinions, emotions, etc; personal, individual, based on feelings
succeeding,(adj) coming after or following
supplicate,(v) pray humbly; ask, beg, or seek in a humble way
surfeit,(n) excess, excessive amount, overindulgence
surmise,(v) guess, infer, think, or make an opinion with incomplete information
sycophant,(n) servile flatterer, parasitic person, one who fawns in order to get ahead
synchronous,(adj) happening at the same time
table,(v) lay aside to discuss later, often as a way to postpone discussion indefinitely
taciturn,(adj) not talking much, reserved; silent, holding back in conversation
temperance,(n) moderation, self-control, esp regarding alcohol or other desires or pleasures; total abstinence from alcohol
timely,(adj) well-timed, happening at a suitable time
timorous,(adj) fearful, timid
torrid,(adj) very hot, parching, burning; passionate
transitory,(adj) temporary, short-lived, not lasting
trifling,(adj) trivial, not very important; so small as to be unimportant; frivolous, shallow
trite,(adj) lacking freshness or originality, lacking effectiveness due to overuse, cliche
ubiquitous,(adj) existing everywhere at the same time
undermine,(v) weaken cause to collapse by digging away at the foundation (of a building or an argument)
